Bill,Flags,Title,Status,Veto,Date,Original Sponsor,Committee Sponsor,Companion Bills,Last Roll Call,Latest Committee Recommendation,Secondary Sponsor,Sponsor (combined),This Committee Recommendation
HB 1366,af#,Comm. facilities districts,Del to Gov,,4/26/19,Sullivan,,,78-16-0-4,,Jenkin,Sullivan,
HB 1375,f,Port district campaign cntrb,C 100 L 19,,4/23/19,Wylie,,,47-0-0-2,,Stonier,Wylie,
SHB 1377,a,Housing dev./religious orgs.,C 218 L 19,,4/30/19,Walen,HOUS,SB 5358(S Rules X),85-9-0-4,,Barkis,HOUS(Walen),
ESHB 1379,af,Political comm. disclosures,Del to Gov,,4/26/19,Pellicciotti,SGOV,,96-0-0-2,,Hudgins,SGOV(Pellicciotti),
HB 1380,f#,Assault of utility worker,C 219 L 19,,4/30/19,Pellicciotti,,SB 5857(S Law & Justice),47-1-0-1,,Goodman,Pellicciotti,
HB 1382,f#,Emergency aid/prostitution,C 114 L 19,,4/24/19,Pellicciotti,,,47-0-0-2,,Kraft,Pellicciotti,
HB 1385,fd,FDA nonpublic information,Del to Gov,,4/28/19,Springer,,SB 5455(S State Govt/Tri),48-0-0-1,,Kretz,Springer,
E2SHB 1391,af,Early achievers program,Del to Gov,,4/26/19,Senn,APP,SB 5484(S Rules X),93-1-0-4,,Dent,APP(Senn),
2SHB 1394,ae,Behavioral health facilities,Del to Gov,,4/26/19,Schmick,APP,SB 5431(S Rules X),96-0-0-2,,Cody,APP(Schmick),
SHB 1399,fd,Paid family & medical leave,C 13 L 19,,4/3/19,Robinson,LAWS,SB 5449(S Rules X),40-6-0-3,,Doglio,LAWS(Robinson),
E2SHB 1401,af,Hemp production,S Passed 3rd,,4/15/19,Shea,APP,SB 5719(S Ag/Water/Natur),48-0-0-1,,Blake,APP(Shea),
SHB 1403,f#,Municipal B&O tax apportion.,C 101 L 19,,4/23/19,Frame,FIN,,47-0-0-2,,Orcutt,FIN(Frame),
SHB 1406,af#,Affordable housing/sales tax,Del to Gov,,4/28/19,Robinson,HOUS,SB 5646(S Ways & Means),62-36-0-0,,Macri,HOUS(Robinson),
HB 1408,fo,Survivorship benefit options,C 102 L 19,,4/23/19,Volz,,SB 5661(S Rules X),45-1-0-3,,Ormsby,Volz,
HB 1412,fd,Nonresident pharmacies,C 25 L 19,,4/17/19,Thai,,SB 5459(S Health & Long),48-0-0-1,,DeBolt,Thai,
SHB 1415,d,Medical marijuana auth db,C 220 L 19,,4/30/19,Schmick,APP,SB 5482(S Ways & Means),48-0-0-1,,Cody,APP(Schmick),
2SHB 1424,afo,CTE course equivalencies,C 221 L 19,,4/30/19,Steele,APP,SB 5069(S EL/K-12),94-0-0-4,,Paul,APP(Steele),
HB 1426,f#,Conservation district coop.,C 103 L 19,,4/23/19,Ramos,,SB 5585(S Rules 3),46-0-0-3,,Orcutt,Ramos,
ESHB 1428,afd#,Electricity product attrib.,C 222 L 19,,4/30/19,Shewmake,ENVI,,94-0-0-4,,Tarleton,ENVI(Shewmake),
HB 1429,fd,Dairy milk assessment fee,C 115 L 19,,4/24/19,Shewmake,,SB 5447(S Rules 3),46-0-0-3,,Chandler,Shewmake,
SHB 1430,fo,Licensing moderniz. account,C 164 L 19,,4/29/19,MacEwen,APP,,45-0-0-4,,Stanford,APP(MacEwen),
HB 1431,fd#,Joint self-insurance prgs,C 26 L 19,,4/17/19,Kirby,,SB 5584(S Rules 3),46-0-1-2,,Vick,Kirby,
HB 1432,f,Hospitals/ARNPs & PAs,C 104 L 19,,4/23/19,Cody,,SB 5648(S Health & Long T),46-0-0-3,,DeBolt,Cody,
SHB 1436,af#,Snow bikes,Del to Gov,,4/28/19,Mosbrucker,TR,,98-0-0-0,,Wylie,TR(Mosbrucker),
ESHB 1440,,Rent increase notices,C 105 L 19,,4/23/19,Robinson,CRJ,,29-18-0-2,,Macri,CRJ(Robinson),
2SHB 1444,ad,Appliance efficiency,Del to Gov,,4/26/19,Morris,APP,SB 5115(S Rules X),55-39-0-4,,Fitzgibbon,APP(Morris),
2SHB 1448,f,Veterans service officer prg,C 223 L 19,,4/30/19,Maycumber,APP,,46-0-0-3,,Chapman,APP(Maycumber),
HB 1449,f,Public lands day,C 224 L 19,,4/30/19,Peterson,,,48-0-0-1,,Chandler,Peterson,
ESHB 1450,f,Noncompetition covenants,Del to Gov,,4/26/19,Stanford,LAWS,SB 5478(S subst for),29-19-0-1,,Kloba,LAWS(Stanford),
HB 1462,a,"Tenant notice/demolish, etc.",Del to Gov,,4/26/19,Barkis,,,96-0-0-2,,Reeves,Barkis,
EHB 1465,af#,Pistol sales or transfers,Del to Gov,,4/26/19,Goodman,,,56-40-0-2,,Jinkins,Goodman,
SHB 1469,,Driving/emerg. & work zones,C 106 L 19,,4/23/19,Jenkin,TR,,46-0-0-3,,Chapman,TR(Jenkin),
SHB 1476,a,Contracts for dogs and cats,Del to Gov,,4/26/19,Stanford,CPB,,56-40-0-2,,Appleton,CPB(Stanford),
SHB 1480,,Dredged material disposal,C 225 L 19,,4/30/19,Fey,ENVI,,48-0-0-1,,Barkis,ENVI(Fey),
SHB 1485,f,Religious coordinator appt.,C 107 L 19,,4/23/19,Lekanoff,SGOV,SB 5013(S Rules X),34-12-0-3,,Pettigrew,SGOV(Lekanoff),
HB 1486,fd,Delegation of inspection,C 165 L 19,,4/29/19,Mosbrucker,,SB 5756(S Labor & Commer),48-0-0-1,,Gregerson,Mosbrucker,
HB 1490,fd,Hanford workers/cancer,C 108 L 19,,4/23/19,Ormsby,,SB 5507(S Rules X),39-8-0-2,,Sells,Ormsby,
2SHB 1497,fd,Foundat. public health servs,C 14 L 19,,4/3/19,Robinson,APP,SB 5732(S Health & Long),44-1-0-4,,Harris,APP(Robinson),
HB 1499,f#,Public facilities/recreation,Del to Gov,,4/28/19,Jenkin,,SB 5515(S Rules X),30-18-0-1,,Peterson,Jenkin,
ESHB 1504,af#,Impaired driving,S adheres,,4/27/19,Klippert,PS,,48-1-0-0,,Goodman,PS(Klippert),
HB 1505,af#,Child victims/sexual assault,Del to Gov,,4/26/19,Klippert,,,96-0-0-2,,Kraft,Klippert,
ESHB 1510,af#,Narrow track vehicles,S Passed 3rd,,4/17/19,Shea,TR,,48-0-0-1,,Riccelli,TR(Shea),
SHB 1512,,Transp. electrification,C 109 L 19,,4/23/19,Fey,ENVI,,36-11-0-2,,Steele,ENVI(Fey),
HB 1516,f,"DFW dog training, nonlethal",C 226 L 19,,4/30/19,Blake,,,46-1-0-2,,Dent,Blake,
E2SHB 1517,afo#,Domestic violence,Del to Gov,,4/26/19,Goodman,APP,SB 5681(S Law & Justice),94-0-0-4,,Mosbrucker,APP(Goodman),
2SHB 1528,a,Recovery support services,Del to Gov,,4/26/19,Davis,APP,,94-0-0-4,,Harris,APP(Davis),
SHB 1531,f#,Medical debt,C 227 L 19,,4/30/19,Jinkins,CRJ,SB 5530(S Law & Justice),48-0-0-1,,Walen,CRJ(Jinkins),
SHB 1532,f,Domestic violence TBIs,C 110 L 19,,4/23/19,Mosbrucker,PS,,46-0-0-3,,Pettigrew,PS(Mosbrucker),
HB 1533,f,D.V. resources in workplace,C 228 L 19,,4/30/19,Mosbrucker,,,48-0-0-1,,Pettigrew,Mosbrucker,
HB 1534,f,Psychiatric payments/rural,C 116 L 19,,4/24/19,Dufault,,,45-0-0-4,,Cody,Dufault,
HB 1537,,Sunshine committee recs.,C 229 L 19,,4/30/19,Springer,,,45-0-0-4,,Van Werven,Springer,
E2SHB 1543,ad,Recycling,C 166 L 19,,4/29/19,Mead,APP,SB 5545(S Rules X),61-33-0-4,,Doglio,APP(Mead),
SHB 1545,f#,Curing ballots,C 167 L 19,,4/29/19,Mead,SGOV,,41-7-0-1,,Hudgins,SGOV(Mead),
HB 1554,f,Dental hygienists,C 111 L 19,,4/23/19,Thai,,,41-0-0-8,,Harris,Thai,
ESHB 1557,f,Liquor licenses,Del to Gov,,4/26/19,MacEwen,COG,,48-0-0-1,,Stanford,COG(MacEwen),
HB 1561,af,DCYF oversight board,Del to Gov,,4/25/19,Dent,,,94-0-0-4,,Senn,Dent,
EHB 1563,f,Liquor tasting/students,C 112 L 19,,4/23/19,Jenkin,,,43-1-0-5,,Blake,Jenkin,
EHB 1564,afd,Nursing facilities/medicaid,Del to Gov,,4/26/19,Macri,,SB 5569(S Health & Long),96-0-0-2,,Schmick,Macri,
HB 1568,f#,Port district worker dev.,C 117 L 19,,4/24/19,Chapman,,SB 5570(S Rules X),47-0-0-2,,Dent,Chapman,
ESHB 1569,f#,Product degradability,Del to Gov,,4/26/19,Ramos,ENVI,,30-17-0-2,,Chapman,ENVI(Ramos),
SHB 1575,af,Collective bargaining/dues,C 230 L 19,,4/30/19,Stonier,LAWS,SB 5623(S Rules X),56-38-0-4,,Valdez,LAWS(Stonier),
SHB 1577,f,K-12 computer sci. ed. data,C 27 L 19,,4/17/19,Callan,ED,SB 5574(S Rules X),48-0-0-1,,Stonier,ED(Callan),
ESHB 1578,afe,Oil transportation safety,Del to Gov,,4/26/19,Lekanoff,ENVI,SB 5578(S Ways & Means),59-35-0-4,,Peterson,ENVI(Lekanoff),
2SHB 1579,afe,Chinook abundance,Del to Gov,,4/26/19,Fitzgibbon,APP,,57-37-0-4,,Peterson,APP(Fitzgibbon),
ESHB 1582,af#,Manuf./mobile home tenants,Del to Gov,,4/26/19,Gregerson,CRJ,,60-36-0-2,,Kloba,CRJ(Gregerson),
EHB 1584,f#,Transp. planning orgs/tribes,C 118 L 19,,4/24/19,Riccelli,,SB 5778(S Transportation),27-19-0-3,,Ormsby,Riccelli,
SHB 1587,af,Fruits and vegetables access,C 168 L 19,,4/29/19,Riccelli,APP,SB 5583(S Ways & Means),84-10-0-4,,Entenman,APP(Riccelli),
HB 1589,f,Correctional emps/firearms,C 231 L 19,,4/30/19,Chapman,,,43-1-0-5,,Rude,Chapman,
E2SHB 1593,ae,UW behavioral health campus,Del to Gov,,4/27/19,Chopp,APP,SB 5516(S Ways & Means),94-0-0-4,,Sullivan,APP(Chopp),
SHB 1594,f,Telecommunication installat.,C 119 L 19,,4/24/19,Chandler,LAWS,,46-0-0-3,,Chapman,LAWS(Chandler),
E2SHB 1599,af,High school graduation reqs.,Del to Gov,,4/26/19,Stonier,APP,,96-0-0-2,,Harris,APP(Stonier),
SHB 1602,a,Consumer debt,Del to Gov,,4/26/19,Reeves,CRJ,,67-27-0-4,,Walen,CRJ(Reeves),
2SHB 1603,af,Economic assistance programs,Del to Gov,,4/26/19,Senn,APP,SB 5684(S Ways & Means),55-39-0-4,,Entenman,APP(Senn),
HB 1604,fd,Childhood deafness center,Del to Gov,,4/26/19,Stonier,,,44-0-0-5,,Harris,Stonier,
SHB 1605,f,Foster care TBI screenings,C 120 L 19,,4/24/19,Dent,HSEL,,45-0-0-4,,Peterson,HSEL(Dent),
SHB 1607,f,Health marketplace notices,Del to Gov,,4/26/19,Caldier,CRJ,,29-19-0-1,,Jinkins,CRJ(Caldier),
SHB 1621,o,Teacher prep. skills assess.,C 121 L 19,,4/24/19,Ybarra,ED,SB 5512(S Rules X),42-2-0-5,,Steele,ED(Ybarra),
HB 1634,f#,Tax foreclosure/as-is sale,C 28 L 19,,4/17/19,Goehner,,SB 5518(S Rules 3),47-0-0-2,,Eslick,Goehner,
EHB 1638,af#,Vaccine preventable diseases,Del to Gov,,4/26/19,Harris,,,56-40-0-2,,Stonier,Harris,
ESHB 1643,f,Address confid./property,C 122 L 19,,4/24/19,Doglio,SGOV,,47-0-0-2,,Walsh,SGOV(Doglio),
E2SHB 1646,a,Juvenile rehab. confinement,Del to Gov,,4/26/19,Goodman,APP,SB 5737(S Ways & Means),56-38-0-4,,Eslick,APP(Goodman),
HB 1647,fd,Pilot rest periods,C 123 L 19,,4/24/19,Chapman,,SB 5563(S Rules X),46-0-0-3,,Boehnke,Chapman,
SHB 1652,f#,Paint stewardship,Del to Gov,,4/28/19,Peterson,ENVI,,26-22-0-1,,DeBolt,ENVI(Peterson),
HB 1657,fd,Homeless youth services,C 124 L 19,,4/24/19,Callan,,SB 5470(S Rules X),46-0-0-3,,Eslick,Callan,
SHB 1658,a,Paraeducators,Del to Gov,,4/26/19,Paul,ED,,94-0-0-4,,Steele,ED(Paul),
ESHB 1667,af#,Public records request admin,Del to Gov,,4/28/19,Springer,APP,SB 5667(S State Govt/Tri),97-0-0-1,,Walsh,APP(Springer),
2SHB 1668,af,Washington health corps,Del to Gov,,4/26/19,Slatter,APP,,93-1-0-4,,Jinkins,APP(Slatter),
HB 1672,a,Wine recorking,C 169 L 19,,4/29/19,Steele,,,94-0-0-4,,Kirby,Steele,
HB 1673,f,Explosives/public record act,C 125 L 19,,4/24/19,Steele,,,46-1-0-2,,Eslick,Steele,
HB 1688,fd,Resident student/veterans,C 126 L 19,,4/24/19,Morgan,,SB 5713(S Rules X),43-0-0-6,,Sutherland,Morgan,
ESHB 1692,af#,Agency employees/harassment,Del to Gov,,4/26/19,Jinkins,SGOV,,96-0-0-2,,Caldier,SGOV(Jinkins),
ESHB 1696,af,Wage and salary information,Del to Gov,,4/28/19,Dolan,APP,,57-40-0-1,,Senn,APP(Dolan),
EHB 1706,af,Subminimum wage/disabilities,Del to Gov,,4/26/19,Frame,,SB 5753(S Labor & Commer),90-6-0-2,,Sells,Frame,
2SHB 1713,,Native American women,C 127 L 19,,4/24/19,Mosbrucker,APP,,41-0-0-8,,Gregerson,APP(Mosbrucker),
HB 1714,fo,High school diplomas by CTC,Del to Gov,,4/26/19,Entenman,,SB 5113(S Rules 3),48-0-0-1,,Boehnke,Entenman,
SHB 1724,a#,Public facilities mitigation,Del to Gov,,4/26/19,Santos,LG,SB 5679(S Rules X),87-7-0-4,,,LG(Santos),
HB 1726,f,Health care prof. students,Del to Gov,,4/26/19,Riccelli,,,48-0-0-1,,Schmick,Riccelli,
HB 1727,a,Gift cards,Del to Gov,,4/26/19,Walen,,,94-0-0-4,,Ormsby,Walen,
HB 1730,af,Payment/limitations period,Del to Gov,,4/26/19,Walen,,,94-0-0-4,,Frame,Walen,
ESHB 1732,af#,Bias-based criminal offenses,Del to Gov,,4/26/19,Valdez,PS,,73-21-0-4,,Entenman,PS(Valdez),
SHB 1734,f,College in high school accr.,Del to Gov,,4/26/19,Leavitt,CWD,SB 5706(S Rules X),47-0-1-1,,Boehnke,CWD(Leavitt),
SHB 1739,afd#,"Firearms/undetectable, etc.",Del to Gov,,4/26/19,Valdez,CRJ,,56-40-0-2,,Dolan,CRJ(Valdez),
SHB 1742,f#,Juvenile offenses/depictions,C 128 L 19,,4/24/19,Frame,HSEL,,25-19-0-5,,Eslick,HSEL(Frame),
HB 1743,af,Prevailing rate of wages,C 29 L 19,,4/17/19,Ormsby,,SB 5766(S Rules X),93-0-0-5,,Sells,Ormsby,
SHB 1746,af#,Commercial office space dev.,Del to Gov,,4/26/19,Fey,LG,,93-1-0-4,,Gildon,LG(Fey),
HB 1753,f,Health profession fees/rules,Del to Gov,,4/26/19,Riccelli,,,48-0-0-1,,Macri,Riccelli,
EHB 1756,af#,Adult entertainer safety,Del to Gov,,4/26/19,Orwall,,SB 5724(S Labor & Commer),94-2-0-2,,Mosbrucker,Orwall,
SHB 1764,,Found property,C 30 L 19,,4/17/19,Chambers,LG,,46-2-0-1,,Goodman,LG(Chambers),
2SHB 1767,a,Arrest & jail alternatives,Del to Gov,,4/27/19,Lovick,APP,,94-0-0-4,,Leavitt,APP(Lovick),
ESHB 1768,a,Substance use disorder prof.,Del to Gov,,4/28/19,Davis,HCW,,98-0-0-0,,Macri,HCW(Davis),
ESHB 1772,a,Motorized foot scooters,C 170 L 19,,4/29/19,Macri,TR,SB 5751(S Rules X),80-14-0-4,,Chambers,TR(Macri),
EHB 1777,f,Surgical facilities/CON,C 31 L 19,,4/17/19,Cody,,,47-0-0-2,,Harris,Cody,
2SHB 1784,af,Wildfire prevention,Del to Gov,,4/26/19,Kretz,APP,,94-0-0-4,,Blake,APP(Kretz),
SHB 1786,a,"Protection, etc. orders",Del to Gov,,4/26/19,Jinkins,CRJ,,54-42-0-2,,Wylie,CRJ(Jinkins),
ESHB 1788,a,WA state bar association,S Passed 3rd,,4/10/19,Stokesbary,CRJ,,26-18-0-5,,,CRJ(Stokesbary),
EHB 1789,af#,Vehicle service fees,Del to Gov,,4/28/19,Fey,,,85-12-0-1,,Barkis,Fey,
HB 1792,a,Marijuana retailer penalties,Del to Gov,,4/26/19,Pettigrew,,,66-30-0-2,,Appleton,Pettigrew,
ESHB 1794,f,Marijuana bus. agreements,Del to Gov,,4/26/19,Stanford,COG,,39-6-0-4,,MacEwen,COG(Stanford),
SHB 1798,a,Short-term rentals,Del to Gov,,4/26/19,Ryu,CPB,SB 5870(S Financial Inst),70-24-0-4,,Mosbrucker,CPB(Ryu),
EHB 1801,f#,"Abandoned cemeteries, entry",C 129 L 19,,4/24/19,Orcutt,,,47-0-0-2,,DeBolt,Orcutt,
HB 1803,af,Minimum school days,Del to Gov,,4/26/19,Orcutt,,,94-0-0-4,,Santos,Orcutt,
ESHB 1817,af,High hazard facilities,Del to Gov,,4/25/19,Sells,LAWS,SB 5698(S Labor & Commer),58-36-0-4,,Chapman,LAWS(Sells),
ESHB 1839,af#,Arena projects/taxes,Del to Gov,,4/28/19,Sullivan,FIN,SB 5813(S Ways & Means),77-21-0-0,,MacEwen,FIN(Sullivan),
EHB 1846,f,Off-road vehicle moneys,C 130 L 19,,4/24/19,Paul,,,47-0-0-2,,Walsh,Paul,
ESHB 1849,d,"Unplatted tidelands, etc.",C 131 L 19,,4/24/19,Lekanoff,ENVI,SB 5852(S Ag/Water/Natur),46-0-0-3,,Chapman,ENVI(Lekanoff),
HB 1852,f#,Property tax refunds,C 32 L 19,,4/17/19,Ramos,,,48-0-0-1,,Pollet,Ramos,
SHB 1856,f,Scleral tattooing,Del to Gov,,4/26/19,Tharinger,HCW,,47-1-0-1,,Caldier,HCW(Tharinger),
SHB 1865,f,Acupuncture & Eastern med.,Del to Gov,,4/26/19,Cody,HCW,SB 5794(S Health & Long),48-0-0-1,,Harris,HCW(Cody),
HB 1866,f,Day care prof dev compliance,Gov vetoed,V,4/29/19,Dent,,,47-0-0-2,,Chapman,Dent,
SHB 1870,a,Afford. care act protections,C 33 L 19,,4/17/19,Davis,HCW,SB 5805(S Rules X),56-37-0-5,,Cody,HCW(Davis),
E2SHB 1873,a,Vapor product taxation,Del to Gov,,4/28/19,Pollet,APP,,35-13-0-1,,Harris,APP(Pollet),
E2SHB 1874,a,Adolescent behavioral health,Del to Gov,,4/26/19,Frame,APP,SB 5904(S Rules X),88-8-0-2,,Eslick,APP(Frame),
ESHB 1879,af,Rx drug utilization mngmt,C 171 L 19,,4/29/19,Jinkins,HCW,SB 5806(S Health & Long T),94-0-0-4,,Cody,HCW(Jinkins),
2SHB 1893,af,Postsecondary student assist,Del to Gov,,4/28/19,Entenman,APP,,57-41-0-0,,Leavitt,APP(Entenman),
HB 1900,afd,Federal funding/family serv.,C 172 L 19,,4/29/19,Callan,,SB 5826(S Rules 3),94-0-0-4,,Dent,Callan,
HB 1901,fd,Safety belt exe/comm vehicle,C 173 L 19,,4/29/19,Lovick,,SB 5827(S Rules X),48-0-0-1,,Griffey,Lovick,
HB 1906,,Dolores Huerta day,C 10 L 19,,3/21/19,Ortiz-Self,,SB 5868(S Rules X),44-0-1-4,,Valdez,Ortiz-Self,
2SHB 1907,a,SUD treatment system,Del to Gov,,4/27/19,Davis,APP,,94-0-0-4,,Appleton,APP(Davis),
HB 1908,fd#,Electronic authentication,C 132 L 19,,4/24/19,Graham,,SB 5501(S Rules 3),47-0-0-2,,Walsh,Graham,
SHB 1909,f,Industrial ins claim records,C 34 L 19,,4/17/19,Graham,LAWS,SB 5844(S Rules X),48-0-0-1,,Lovick,LAWS(Graham),
HB 1913,f,Occup. disease presumption,C 133 L 19,,4/24/19,Doglio,,SB 5849(S Labor & Commer),47-0-0-2,,Sells,Doglio,
ESHB 1916,fd,Child support services,Del to Gov,,4/26/19,Kilduff,CRJ,,45-0-0-4,,Leavitt,CRJ(Kilduff),
SHB 1917,f,Animal traps/airports,Del to Gov,,4/26/19,Peterson,RDAN,,44-0-0-5,,Dent,RDAN(Peterson),
HB 1918,f#,Community preservation auth.,Del to Gov,,4/26/19,Santos,,,45-0-0-4,,,Santos,
SHB 1919,af#,Animal abuse,C 174 L 19,,4/29/19,Mosbrucker,PS,,94-0-0-4,,Appleton,PS(Mosbrucker),
E2SHB 1923,af#,Urban residential building,Del to Gov,,4/27/19,Fitzgibbon,APP,,75-19-0-4,,Macri,APP(Fitzgibbon),
SHB 1930,f#,Expression of breast milk,C 134 L 19,,4/24/19,Doglio,LAWS,SB 5911(S Labor & Commer),46-0-0-3,,Dolan,LAWS(Doglio),
SHB 1931,f,Health care work violence,Del to Gov,,4/26/19,Leavitt,LAWS,SB 5912(S Labor & Commer),48-0-0-1,,Kilduff,LAWS(Leavitt),
HB 1934,f#,Pistol license/armed forces,C 135 L 19,,4/24/19,Caldier,,,46-1-0-2,,Kilduff,Caldier,
SHB 1949,f,Firearm background checks,C 35 L 19,,4/17/19,Hansen,CRJ,,48-0-0-1,,Irwin,CRJ(Hansen),
SHB 1953,a,Sno-park recreation permits,C 175 L 19,,4/29/19,Corry,HOUS,,94-0-0-4,,Fitzgibbon,HOUS(Corry),
2SHB 1973,af,Dual enrollment scholarship,C 176 L 19,,4/29/19,Paul,APP,,94-0-0-4,,Pollet,APP(Paul),
HB 1980,f#,Federal tax lien recording,C 136 L 19,,4/24/19,Macri,,,46-0-0-3,,Ryu,Macri,
ESHB 1994,,Significant transp. projects,C 137 L 19,,4/24/19,Wylie,TR,SB 5847(S Rules X),41-5-0-3,,Vick,TR(Wylie),
EHB 1996,af,San Juan license plate,C 177 L 19,,4/29/19,Lekanoff,,SB 5919(S subst for),94-0-0-4,,Shewmake,Lekanoff,
ESHB 2015,afd#,Library-archives building,Del to Gov,,4/28/19,Doglio,CB,SB 5902(S State Govt/Tri),92-6-0-0,,DeBolt,CB(Doglio),
ESHB 2018,a,Harassment/legislature,Del to Gov,,4/26/19,Morgan,SGOV,,96-0-0-2,,Jinkins,SGOV(Morgan),
EHB 2020,a,Employment investigations,Del to Gov,,4/28/19,Dolan,,SB 5929(S State Govt/Tri),98-0-0-0,,Kretz,Dolan,
SHB 2024,f#,Medicaid incentive payments,Del to Gov,,4/28/19,Robinson,FIN,,48-0-0-1,,Cody,FIN(Robinson),
HB 2035,f,"In-state broadcasters, taxes",Del to Gov,,4/28/19,Lovick,,,47-0-1-1,,Frame,Lovick,
HB 2038,f,Pavement condition reporting,C 36 L 19,,4/17/19,Ramos,,,47-0-0-2,,Orcutt,Ramos,
E2SHB 2042,af#,Green transportation,Del to Gov,,4/28/19,Fey,FIN,,31-17-0-1,,Orcutt,FIN(Fey),
SHB 2044,,Park district deannexation,C 138 L 19,,4/24/19,Senn,LG,,39-2-0-8,,Peterson,LG(Senn),
SHB 2049,a,Commercial egg layers,Del to Gov,,4/26/19,Blake,RDAN,,96-0-0-2,,,RDAN(Blake),
HB 2052,af,Marijuana product testing,Del to Gov,,4/26/19,Stanford,,,96-0-0-2,,MacEwen,Stanford,
HB 2058,f,Purple Heart license plates,C 139 L 19,,4/24/19,Callan,,,47-0-0-2,,Dufault,Callan,
HB 2062,f,Seattle Storm license plates,Del to Gov,,4/26/19,Slatter,,SB 5930(S Rules 3),43-1-0-5,,Senn,Slatter,
EHB 2067,af#,Vehicle & vessel owner info.,Del to Gov,,4/27/19,Davis,,,94-0-0-4,,Chambers,Davis,
HB 2072,f#,County treasurer contracting,C 20 L 19,,4/8/19,Volz,,,46-0-0-3,,Senn,Volz,
ESHB 2097,af#,Statewide wolf recovery,Del to Gov,,4/28/19,Kretz,APP,,97-0-0-1,,Chapman,APP(Kretz),
HB 2119,fd#,State forestland moneys,Del to Gov,,4/26/19,Morris,,SB 5975(S Ways & Means),42-6-0-1,,Lekanoff,Morris,
ESHB 2140,a,K-12 education funding,Del to Gov,,4/28/19,Sullivan,APP,,34-15-0-0,,Dolan,APP(Sullivan),
HB 2144,f,LEOFF 2 benefit funding,Del to Gov,,4/27/19,Sullivan,,,46-2-0-1,,Stokesbary,Sullivan,
E2SHB 2158,a,Workforce education,Del to Gov,,4/28/19,Hansen,APP,,25-22-0-2,,Tarleton,APP(Hansen),
SHB 2159,$,Budget stabilization account,Del to Gov,,4/28/19,Ormsby,APP,,46-3-0-0,,,APP(Ormsby),
ESHB 2161,af,Ferry vessel procurement,Del to Gov,,4/28/19,Fey,TR,,63-35-0-0,,Fitzgibbon,TR(Fey),
ESHB 2163,,Budget stabil. account/K-12,Del to Gov,,4/28/19,Stokesbary,APP,,41-7-0-1,,,APP(Stokesbary),
SHB 2167,f,Financial institutions tax,Del to Gov,,4/28/19,Tarleton,FIN,,25-24-0-0,,,FIN(Tarleton),
SHB 2168,,Hospital tax preference,Del to Gov,,4/28/19,Tarleton,FIN,,47-1-0-1,,,FIN(Tarleton),
SHJM 4007,,Regina Clark memorial bridge,Del to Gov,,4/26/19,Orcutt,TR,,48-0-0-1,,Appleton,TR(Orcutt),
HCR 4400,,Joint session/state of state,H Filed Sec/St,,1/15/19,Sullivan,,,,,Kretz,Sullivan,
HCR 4401,,Code of conduct,H Filed Sec/St,,2/13/19,Macri,,,98-0-0-0,,Mosbrucker,Macri,
SB 5000,f,Veterinarians/HEALWA,C 140 L 19,,4/26/19,Palumbo,,HB 1555(H Approps),95-0-0-3,,Rivers,Palumbo,
SB 5001,f#,Human remains,S subst for,,2/6/19,Pedersen,,HB 1162(H Approps),,,King,Pedersen,
SB 5002,fo,Limited cooperative assocs.,C 37 L 19,,4/17/19,Pedersen,,,96-0-0-2,,Padden,Pedersen,
SB 5003,o,Business corporation act,S subst for,,2/20/19,Pedersen,,,,,Padden,Pedersen,
SB 5004,,Low-income veterinary srvs,S subst for,,2/25/19,Cleveland,,,,,Rivers,Cleveland,
SB 5005,f,Vanity collector plates,S Rules X,,3/18/19,Takko,,,,,Sheldon,Takko,
SB 5006,f,Sale of wine/microbrewery,S Rules 2G,,2/26/19,Takko,,,,,Fortunato,Takko,
SB 5007,f#,Motorcycle helmet use,S Transportation,,1/14/19,Rolfes,,HB 1125(H Trans),,,Sheldon,Rolfes,
ESB 5008,,Short subdivisions,S Rules 3,,4/28/19,Palumbo,,HB 1690(H Local Govt),46-2-0-1,,Fortunato,Palumbo,
SB 5009,fd,State auditor,S State Govt/Tri,,1/14/19,Hunt,,HB 1009(H subst for),,,,Hunt,
SB 5010,f#,Protected lands/fire levies,S subst for,,2/15/19,Rolfes,,,,,Van De Wege,Rolfes,
SB 5011,f#,Aviation revital. loan prg,S Rules X,,3/18/19,Honeyford,,,,,Frockt,Honeyford,
SB 5012,f#,Governmental continuity,S subst for,,3/7/19,Takko,,HB 1077(H Approps),,,Zeiger,Takko,
SB 5013,f,Religious coordinator appt.,S Rules X,,3/18/19,McCoy,,HB 1485(H subst for),,,Hunt,McCoy,
SB 5014,,Student assessment reqs.,S EL/K-12,,1/14/19,McCoy,,HB 1720(H Education),,,Hasegawa,McCoy,
SB 5015,,Motor vehicle mufflers,S Transportation,,1/14/19,McCoy,,,,,,McCoy,
SB 5016,,Animal control/firearms,S Rules X,,3/18/19,Van De Wege,,,,,Sheldon,Van De Wege,
SB 5017,o,Uniform unsworn declarations,S subst for,,2/20/19,Salomon,,,,,Van De Wege,Salomon,
SB 5018,f,I-405 express toll lanes,S Transportation,,1/14/19,Palumbo,,,,,Fortunato,Palumbo,
SB 5019,f#,Fire service mobilization,S Rules X,,3/18/19,Takko,,HB 1170(H subst for),,,Rivers,Takko,
